Epoch,Epoch Time,Train BCE Loss,Train GS Loss,Train RD Loss,Train Deg MMD,Train Clus MMD,Train Total Loss,Val Pair Loss,Val Topology Loss,Val Loss,Val auprc,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Planned Subgraphs,Covered Positive Edges,Total Positive Edges,Positive Edge Coverage Ratio,Mean Positive Edge Reuse,All Subgraph Pairs,Supervised Pairs,BCE Positive Pairs,BCE Target Negative Pairs,BCE Negative Pairs,BCE Negative Ratio,BCE Supervised Fraction,edge_cover_sampling_s,train_forward_backward_s,val_pair_pass_s,val_threshold_s,internal_val_topology_s,peak_gpu_mem_mb,Topology Loss Scale,Learning Rate
1,12521.65241321735,0.652013370563378,0.7114493508433652,0.48161649220288666,0.0,0.0,1.5834827402765783,0.529865562915802,26.082252084709996,26.612117647625798,0.9235865491664305,0.23631864693324334,6.327880038852567,7.1505972580509765,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,566.7309338035993,11238.7385411805,209.45900585595518,3.2957643270492554e-05,382.9489554427564,26117.5693359375,1.0,6e-06
2,12686.373997682706,0.6462782913765897,0.6079669740090127,0.21522719949612534,0.0,0.0,1.265559641641566,0.5219036340713501,23.101486745228147,23.623390379299497,0.9326286692052516,0.23766507247627763,6.00753346868069,7.212095644929164,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,550.6278502705973,11417.184529569698,208.90935892611742,2.9001384973526e-05,385.35979529097676,26510.36328125,1.0,6e-06
3,12726.424757858738,0.6421227671233902,0.5770767874820402,0.17708304782172138,0.0,0.0,1.2054512515496671,0.5361835360527039,17.05966816316839,17.595851699221093,0.9336212750023183,0.24526803774541167,5.285810670053524,6.218487571206618,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,577.0894782899413,11431.541804824723,209.1791595024988,2.824142575263977e-05,384.5576269607991,26307.44091796875,1.0,6e-06
4,12698.85581159778,0.6377576443810907,0.5590813978250306,0.16217814628224797,0.0,0.0,1.1750749457012004,0.5380749106407166,15.605452804682306,16.143527715323025,0.934270676769641,0.2475156632737847,5.093180476105477,5.730781166831127,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,567.9438966982998,11409.211449705996,209.680488364771,2.8656795620918274e-05,387.46797564905137,26022.85791015625,1.0,6e-06
5,12764.785723547451,0.6364038009901909,0.5461211042498935,0.152995927073644,0.0,0.0,1.1563848986981466,0.5466128587722778,13.92020580366135,14.466818662433628,0.9349016606889516,0.2516541553139562,4.858088719730581,5.333468697058312,0.0,2667,48771,48771,1.0,1.0,1620030,203750,48771,243855,154979,3.177687560230465,0.1257692758776072,577.449649237562,11468.278801823035,209.03063391242176,3.041885793209076e-05,385.6924128839746,26460.3525390625,1.0,6e-06
6,12732.806161591783,0.6337885726431686,0.5375346147353035,0.15141934002962928,0.0,0.0,1.1463401995713722,0.545006275177002,13.449706712865732,13.994712988042734,0.9356848253949682,0.25251136995803103,4.789820381530319,5.266628060965311,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,535.3391061865259,11475.40928121307,210.78826528415084,2.8049573302268982e-05,387.09125074837357,26370.3369140625,1.0,6e-06
7,12777.357558672316,0.628835486128055,0.5324963839135427,0.15290434335969522,0.0,0.0,1.1391968544142537,0.5496260523796082,12.397918703079345,12.947544755458953,0.9362342098606664,0.25463055499615367,4.6325932107910415,4.993824278556386,0.0,2668,48771,48771,1.0,1.0,1620810,203750,48771,243855,154979,3.177687560230465,0.1257087505629901,561.0947298333049,11493.085760583868,211.08569425996393,2.8849579393863678e-05,388.4966799337417,25860.63134765625,1.0,6e-06
8,12824.264488412999,0.6167929596046063,0.5265201311258396,0.14827339858920585,0.0,0.0,1.1188031021755436,0.5538097620010376,12.681608036484485,13.235417798485523,0.936666034971011,0.25268125932165353,4.675517335923935,5.098060306346458,0.0,2669,48771,48771,1.0,1.0,1621245,203750,48771,243855,154979,3.177687560230465,0.1256750213570435,568.9392235474661,11534.555279080756,210.55091009102762,3.13296914100647e-05,386.07319271564484,26053.064453125,1.0,6e-06
9,12774.126275291666,0.6227936711650662,0.522129638498642,0.1439863853837647,0.0,0.0,1.117872158273329,0.5543932914733887,12.169720132038968,12.724113423512357,0.9369591431217349,0.2548476264140717,4.597547539725858,4.932003606883399,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,569.6908434000798,11482.734830674483,209.68921281490475,2.2845342755317688e-05,387.4609621632844,26069.953125,1.0,6e-06
10,12821.407813464291,0.615147024220072,0.5162191230706061,0.1435293725123079,0.0,0.0,1.1056768360432614,0.5531726479530334,12.24059905471747,12.793771702670503,0.9381363529418187,0.2564082328197,4.608644685210972,5.135041424211119,0.0,2670,48771,48771,1.0,1.0,1622025,203750,48771,243855,154979,3.177687560230465,0.12561458670489048,584.7669047766831,11515.07509650453,209.12198223080486,2.2540800273418427e-05,387.8448613472283,26140.07275390625,1.0,6e-06
